"id","collection","dc.title","dc.description.abstract","dc.identifier.doi","dc.identifier.issn","dc.contributor.author","dc.type","dc.identifier.scopus","dc.date.issued"
"+","123456789/7294","Nonlinear acoustic echo cancellation with kernelized adaptive filters","© 2020 Elsevier Ltd A well-known problem in speech communication is the occurrence of acoustic echo in hands-free telephony. There are several classical adaptive filters that have been used as a stand alone approach for linear acoustic echo cancellation(AEC). A common assumption in most AEC techniques is that the echo path is linear. However, in real scenarios, owing to distortions introduced by other acoustic artefacts in handheld devices, the echo path is nonlinear. Therefore, there is a need to employ a nonlinear echo canceller. In this paper, a kernel expansion on a family of adaptive filtering algorithms based on least mean square filter is proposed. Kernel methods help model the nonlinear echo path and attain global minimum easily by finding the optimal set of filter weights. The simulations are carried out for speech signal with and without noise under different signal-to-noise ratio values. The results show that the proposed method achieves a significant improvement in a nonlinear acoustic echo cancellation environment in terms of echo return loss enhancement.","10.1016/j.apacoust.2020.107329","0003682X","||Sankar S.||Kar A.::0000-0003-0011-0069::600||Burra S.||SWAMY M.||Mladenovic V.::0000-0001-8530-2312::600","Article","85082684331","2020-09-01"
"+","123456789/7294","Dummy molecularly imprinted polymer (DMIP) as a sorbent for bisphenol S and bisphenol F extraction from food samples","© 2020 Elsevier B.V. Dummy molecularly imprinted polymer (DMIP) was prepared towards bisphenol S and bisphenol F employing bisphenol A as a dummy template. Liquid chromatography with UV and fluorescence detection (LC-UV/FLD) was used for the separation and quantification of these analytes. The maximum adsorption capacity of DMIP was 20.9 mg g−1 and 18.6 mg g−1 for BPS and BPF, respectively. By applying solid phase extraction with DMIP prior to LC-UV/FLD, the limits of detections achieved in food samples can be lowered to 0.5 ng g−1 for BPF and 5 ng g−1 for BPS. Only 5 mg of DMIP sorbent was sufficient to achieve good recoveries (71–113%) and precision (RSD 0.1–3.2%, n = 3) for analyzed liquid food samples spiked at two concentration levels 0.25 mg L −1 and 0.40 mg L −1. For preconcentrated pineapple extract spiked with 0.5 mg•L −1 of both analytes, also very good recovery was obtained (89% for BPS and 99% for BPF), significantly higher than for conventional SPE cartridges such as Oasis HLB and Affinimip®. The analytical characterization of the proposed method makes it suitable for monitoring programs, intended for the assessment of human exposure to bisphenol S in food samples, without using much expensive mass spectrometry detection.","10.1016/j.microc.2020.104836","0026265X","||Kubiak A.||Cirić A.::0000-0002-5698-5510::600||Biesaga M.::0000-0001-6839-6740::600","Article","85082686057","2020-07-01"
"+","123456789/7294","Ferrocenyl chalcone derivative (E)-3-(2-methylpyrimidin-5-yl)-1-ferroceynlprop-2-en-1-one: Synthesis, Structural analysis, Docking study and their Antibacterial evaluation","© 2020 Elsevier B.V. Novel bioactive ferrocene containing chalcone derivative (E)-3-(2-methylpyrimidin-5-yl)-1-ferroceynlprop-2-en-1-one (MPFP) were synthesized by Claisen-Schmidt condensation reaction method. A full scale exploration on the intramolecular charge transfer of a bioactive ferrocenylchalcone derivative, from a strong electron-donor (ferrocene) to an electron-acceptor (pyrimidine) through the π-conjugated bridge (α-β-unsaturated carbonyl) has been carried out from their IR and Raman spectra. The vibrational spectra supported by the density functional theory computations have been employed to analyse the effect of intramolecular charge transfer on the stabilized geometries and the vibrational modes contributing to the bioactivity of the synthesized compound. Natural bond and natural population analysis have also been carried out to analyse the effects of intramolecular charge transfer, C–H⋯O hydrogen bonding, conjugation and hyperconjugative interactions on the stabilized geometries. Molecular electrostatic potentials have also been discussed. The synthesized compound were evaluated for their antibacterial activity against Gram-positive (staphylococcus aureus) and Gram-negative (pseudomonas aeruginosa) bacteria by agar well disc diffusion method. Docking simulation has also been performed for the active site of pencicillin binding protein3 from pseudomonas aeruginosa and staphylococcus aureus organisms.","10.1016/j.molstruc.2020.128049","00222860","||Twinkle A.||Leenaraj D.||Ratkovic Z.::0000-0002-7194-9163::600||Arunsasi B.||Bright K.||Reshma R.","Article","85081674608","2020-06-15"
"+","123456789/7294","Vibrational and Hirshfeld surface analyses, quantum chemical calculations, and molecular docking studies of coumarin derivative 3-(1-m-toluidinoethylidene)-chromane-2,4-dione and its corresponding palladium(II) complex","© 2020 In this study, the analysis of vibrational spectra and electronic structure of 3-(1-m-toluidinoethylidene)-chromane-2,4-dione (L1) and its corresponding palladium (II) complex (C1) was employed to characterize the spectroscopic behavior and molecular structure of the investigated compounds by applying B3LYP-D3BJ/6-311+G(d,p) level of theory. Hirshfeld surface analysis of the intermolecular interactions in crystal structure L1 was performed. The AIM and NBO analyses were used to understand the type, nature, and strength of intramolecular interactions and to examine the electronic structure of the studied molecules. The calculation of HOMO and LUMO energies was applied in order to present the charge transfer within the molecule. The computational molecular docking studies of title compounds was performed with special emphasis on differences in binding of ligand and complex.","10.1016/j.molstruc.2020.127935","00222860","||Milenković D.::0000-0001-7083-2257::600||Avdović E.::0000-0003-2473-9603::600||Dimic D.::0000-0001-8127-5396::600||Sudha S.||Ramarajan D.||Milanović Ž.||Trifunović S.::0000-0002-8817-3306::600||Markovic Z.::0000-0001-5964-049X::600","Article","85080037349","2020-06-05"
"+","123456789/7294","Natural acridones and coumarins as free radical scavengers: Mechanistic and kinetic studies","© 2020 Elsevier B.V. In this work, we combined density functional theory (i.e., the M05-2X/6–311++G(d,p)//M05-2X/6–31+G(d) level) and statistical rate models to investigate free-radical scavenging activities of natural compounds found in Paramignya trimera root: four coumarins (i.e., paratrimerins E, paratrimerins F, pandanusin A, xanthyletin) and three acridones (i.e., citrusinine-I, 5-hydroxynoracronycin, paratrimerin C). Reaction mechanisms, including hydrogen atom transfer (HAT), single electron transfer (SET), proton transfer (PT) and radical adduct formation (RAF), were studied thermodynamically and kinetically in different environments: gas-phase, water and pentyl ethanoate (PEA). 5-hydroxynoracronycin is found as the most potential antioxidant with the HAT as the most dominant mechanism in the considered media.","10.1016/j.cplett.2020.137312","00092614","||Ngo T.||Mai T.||Pham T.||Jeremić S.||Markovic Z.::0000-0001-5964-049X::600||Huynh L.::0000-0002-3683-2787::600||Dao D.","Article","85081218846","2020-05-01"
"+","123456789/7294","Cost-effectiveness and resource allocation (CERA) 18 years of evolution: Maturity of adulthood and promise beyond tomorrow","© 2020 The Author(s). Since its inception in 2003, Cost Effectiveness and Resource Allocation journal has come a long way over the past 18 years. Possibly much longer than many of its contemporaries in the blossoming science of health economics might have anticipated. Today, entering 2020 it celebrates the Age of Maturity. We believe that in the third decade of XXI century the interdisciplinary science of health economics, will rejuvenate and come back to us younger than ever from its early historical roots almost a century ago. The spreading of economic globalization in several distinctive ways, either led by multinational business corporations or newly emerged Asian leadership, or both, is likely to make challenges for contemporary health systems far more serious. The fourth industrial revolution (cyber physical systems and artificial intelligence technology) and accelerated innovation in the field of E-Health and digital health, will probably change the workflow in medical and health care, and inevitably transform the labour market in the upcoming decades. So, let us be up to the task. Let us provide academic centres, industry-sponsored pharmaceutical and medical device innovation hubs, and governing authorities alike, with a powerful forum for debate on cost-effective resource allocation in the years to come.","10.1186/s12962-020-00210-2","","||Jakovljevic M.::0000-0002-9160-6846::600||Matter-Walstra K.||Sugahara T.||Sharma T.||Reshetnikov V.::0000-0002-7853-7356::600||Merrick J.||Yamada T.||Youngkong S.||Rovira J.","Review","85082758828","2020-04-02"
"+","123456789/7294","Genotoxic and cytotoxic properties of two medical plants (Teucrium arduini L.and Teucrium flavum L.) in relation to their polyphenolic contents","© 2020 Elsevier B.V. A large number of species belonging to the genus Teucrium are used in pharmacy and traditional medicine for the treatment of different diseases. This study aimed to evaluate the polyphenolic composition as well as genotoxic and cytotoxic effects of methanolic extracts from T. arduini and T. flavum, two native species found in Montenegro. We determined the total phenolic and flavonoid contents of these plants using spectrophotometric methods; the qualitative content of polyphenolic compounds was investigated by high-performance liquid chromatography (HPLC). Genotoxicity in cultured human lymphocytes was measured in the cytokinesis-block micronucleus assay (CBMN) and comet assay in the range between 125 and 1000 μg/mL. Cytotoxicity was assessed by the MTT viability assay in normal human MRC-5 fibroblasts and MDA-MB-231 breast carcinoma cells. The content of total phenolics and flavonoids in T. arduini extract was higher than in T. flavum (200.35 mg GA/g vs. 171.08 mg GA/g; 96.32 mg RU/g vs. 78.14 mg RU/g). The polyphenolic composition of both extracts was qualitatively similar and eight phenol compounds were identified. The most commonly present phenol was caffeic acid and among four flavonoids, the most common was quercetin. Both plant extracts were genotoxic in both the CBMN and comet assays at concentrations of 250, 500 and 1000 μg/mL. After 72 h of exposure, the extracts of T. arduini and T. flavum were found to induce cytotoxicity in MRC-5 fibroblasts but not in MDA-MB-231 breast cancer cells. The results suggest that the constituents of both plant species are genotoxic and cytotoxic, therefore these extracts warrant additional evaluation to be safely applied in humans.","10.1016/j.mrgentox.2020.503168","13835718","||Grujicic D.::0000-0001-7955-6076::600||Markovic A.||Vukajlović J.||Stankovíc M.||Jakovljević M.||Cirić A.::0000-0002-5698-5510::600||Djordjević K.||Planojević N.||Curcic M.::0000-0002-5075-5650::600||Milošević-Djordjević O.::0000-0002-5049-135X::600","Article","85082142799","2020-04-01"
"+","123456789/7294","Attitudes of Nurses Toward Organ Donation in Serbia","© 2020 Elsevier Inc. Objective: Nurses represent the key persons in the process of organ donation, acting as intermediaries between the patient and the family of a potential donor. The aim of this study was to analyze the factors influencing the attitudes of nurses toward bequeathing and organ and tissue donation. Methods: The research was designed as a cross-sectional study from November 2013 to November 2014 and included a sample of 264 nurses employed in the health system of Serbia. Data were collected using a specific questionnaire of 18 questions referring to the information on sociodemographic characteristics and the knowledge of organ donation. Results: The investigation enrolled 264 participants, of which 78% were women. The majority of study subjects had secondary medical education (64.4%), lived in an urban area (82.6%), were married (56.4%), and were predominantly Orthodox (87.1%) with their work experience between 5 and 10 years (29.9%) and 10 to 20 years (29.5%). The average knowledge score concerning organ donation was 29.03 (SD, 2.33; range, 23-34). There was a statistically significant difference in the scores between 2 groups formed according the length of service (P < .001) and the level of education (P = .019), which showed the strongest influence on nurses’ attitudes toward donation. Conclusion: This investigation showed that nurses did not express strong positive attitude toward this issue. Further education of nurses in the Serbian health care system focusing on transplantation and bequeathing of organs and tissues are warranted.","10.1016/j.transproceed.2020.01.031","00411345","||Vlaisavljevic Z.::0000-0002-8050-4705::600||Jankovic S.||Maksimović N.||Culafic M.||Stulic M.::0000-0002-9554-2106::600||Milovanovic T.||Oluic B.","Article","85080952846","2020-04-01"
"+","123456789/7294","Research of an aircraft engine cylinder assembly integrity assessment – Thermomechanical FEM analysis","© 2020 Elsevier Ltd Failures of aircraft piston engine components are a common occurrence in practice. During operation, cylinder heads are components that are exposed to multiaxial thermomechanical loads leading to fatigue. Therefore, predicting the lifetime of the cylinder heads exposed to such loads is one of the most important tasks to ensure engine quality, durability and safety. This paper is the continuation of a comprehensive research of the Lycoming IO-360-B1F aircraft engine cylinder head failure. The failure of this type has already occurred during flight and about 50 failures like this have been registered from around the world, some of them with a fatal outcome and therefore require detailed research. This research includes the numerical stress and fatigue analysis of the cylinder assembly exposed to high cycle mechanical and thermal loads that failed due to a crack appearance on the cylinder head. A 3D cylinder assembly model was created. The locations with the highest stress values, both mechanical and thermal, were determined using numerical analysis. Also, the lifetime of the cylinder assembly has been determined, i.e. an integrity assessment has been carried out which will contribute to the consideration of the crack appearance problem. Defining the coupled thermomechanical load of the cylinder assembly in the numerical analysis gives special significance to this paper. The results obtained will serve to analyze the crack propagation in the cylinder head which is going to be the subject of further research.","10.1016/j.engfailanal.2020.104453","13506307","||Vučetić N.||Jovicic G.||Krstic B.||Živkovič M.||Milovanović V.::0000-0003-3071-4728::600||Kacmarcik J.::0000-0002-5219-2062::600||Antunović R.","Article","85081181592","2020-04-01"
"+","123456789/7294","On relationships of eigenvalue-based topological molecular descriptors","© 2020 Slovensko Kemijsko Drustvo. All rights reserved. Three eigenvalue-based topological molecular descriptors are compared using several datasets of alkanes. Two of them are well-known and frequently employed in various QSPR/QSAR investigations, and third-one is a newly derived whose predictive potential is yet to be proven. The relations among them are found and discussed. Structural parameters that govern these relations are identified and the corresponding formulas based on multiple linear regression have been obtained. It has been shown that all three investigated indices are encoding almost the same structural information of a molecule. They differ only by the extent of the sensitivity on a structural branching of a molecule and on the number of non-bonding molecular orbitals.","10.17344/acsi.2019.5520","13180207","||Redžepović I.||Furtula B.::0000-0002-5056-6892::600","Article","85082494968","2020-03-20"
"+","123456789/7294","Evaluation of zonisamide for the treatment of focal epilepsy: a review of pharmacokinetics, clinical efficacy and adverse effects","© 2020, © 2020 Informa UK Limited, trading as Taylor  &  Francis Group. Introduction: Zonisamide is a benzisoxazole with 3-methanesulfonamide side chain, chemically unrelated with other anticonvulsants, and approved as mono-therapy of newly diagnosed focal epilepsy with or without secondary generalization in adults or adjunctive therapy in the treatment of partial seizures, with or without secondary generalization, in adults, adolescents, and children aged 6 years and above. Areas covered: Pharmacokinetics, clinical efficacy, and the adverse effects of zonisamide are discussed in the article. The discussion is based on data from published preclinical studies, clinical trials, observational studies, systematic reviews, and approved summary of product characteristics. Expert opinion: Zonisamide is an anticonvulsant with multiple mechanisms of action on neuronal tissue, which achieves seizure freedom in more than 80% of patients with newly-onset focal epilepsy and in 6.2 to 18.1% of patients with focal onset seizures inadequately controlled by first-line anticonvulsants. Within the recommended dose range, it follows linear kinetic of elimination; it is metabolized in the liver by two cytochrome isoforms, so pharmacokinetic interactions are rare and with little clinical significance. Up to 10% of patients taking zonisamide will have problems with weight loss and more than 10% with irritability, confusion or depression, and long-lasting therapy may cause renal calculi in 1.2% of patients.","10.1080/17425255.2020.1736035","17425255","||Jankovic S.::0000-0002-1519-8828::600","Article","85080950498","2020-03-03"
"+","123456789/7294","Pituitary hyperplasia, hormonal changes and prolactinoma development in males exposed to estrogens—an insight from translational studies","© 2020 by the authors. Licensee MDPI, Basel, Switzerland. Estrogen signaling plays an important role in pituitary development and function. In sensitive rat or mice strains of both sexes, estrogen treatments promote lactotropic cell proliferation and induce the formation of pituitary adenomas (dominantly prolactin or growth-hormone-secreting ones). In male patients receiving estrogen, treatment does not necessarily result in pituitary hyperplasia, hyperprolactinemia or adenoma development. In this review, we comprehensively analyze the mechanisms of estrogen action upon their application in male animal models comparing it with available data in human subjects. Sex-specific molecular targets of estrogen action in lactotropic (PRL) cells are highlighted in the context of their proliferative and secretory activity. In addition, putative effects of estradiol on the cellular/tumor microenvironment and the contribution of postnatal pituitary progenitor/stem cells and transdifferentiation processes to prolactinoma development have been analyzed. Finally, estrogen-induced morphological and hormone-secreting changes in pituitary thyrotropic (TSH) and adrenocorticotropic (ACTH) cells are discussed, as well as the putative role of the thyroid and/or glucocorticoid hormones in prolactinoma development, based on the current scarce literature.","10.3390/ijms21062024","16616596","||Šošić-Jurjević B.::0000-0001-6378-1930::600||Ajdžanovic V.||Miljic D.||Trifunović S.||Filipović B.||Sanja S.||Bolevich S.::0000-0002-1574-477X::600||Jakovljevic V.||Milosević V.","Review","85082087099","2020-03-02"
"+","123456789/7294","Investigation by digital image correlation of mixed mode i and ii fracture behavior of metallic IASCB specimens with additive manufactured crack-like notch","© 2020 by the authors. Licensee MDPI, Basel, Switzerland. This work investigates the fracture behavior of maraging steel specimens manufactured by the selective laser sintering (SLS) technology, in which a crack-like notch (sharp notch) was directly produced during the additive manufacturing (AM) process. For the evaluation of the fracture toughness, the inclined asymmetrical semi-circular specimen subjected to three points loading (IASCB) was used, allowing to cover a wide variety of Mode I and II combinations. The effectiveness of manufacturing crack-like notches via the SLS technique in metals was evaluated by comparing the obtained experimental results with the ones obtained with pre-cracks induced by fatigue loading. The investigation was carried out by using the digital image correlation (DIC) technique, that allowed the evaluation of the full displacement fields around the crack tip. The displacement field was then used to compute the stress intensity factors (SIFs) for various combinations of Mode I and II, via a fitting technique which relies on the Williams’ model for the displacement. The SIFs obtained in this way were compared to the results obtained with the conventional critical load method. The results showed that the discrepancy between the two methods reduces by ranging from Mode I to Mode II loading condition. Finally, the experimental SIFs obtained by the two methods were described by the mixed mode local stress criterium.","10.3390/met10030400","","||Campione I.||Brugo T.::0000-0001-9049-2747::600||Minak G.::0000-0003-4961-0961::600||Tomić J.||Bogojević N.::0000-0003-3951-3519::600||Kostic S.","Article","85082564483","2020-03-01"
"+","123456789/7294","Analysis of selected properties of welded joints of the HSLA Steels","© 2020 by the authors. This paper presents research of the impact toughness and hardness distribution in specific zones of a 'single V'butt multiple-pass welded joints of the high-strength low-alloyed steels. Obtained values of the impact toughness are analyzed in correlation with a microstructure in specific zones of the welded joint, together with the micro hardness distribution found in the related zones. Based on the carried out analysis and results obtained in experiments, the applied technology of welding was evaluated. The original conclusions on influence of the selected welding procedure manual metal arc (MMA) for the root passes and metal active gas (MAG) for the filling and covering passes) on impact toughness of the high-strength low-alloyed steels are drawn. The paper also presents discussion on the valid standards and recommendations related to welding of those steels, from the aspect of applications in design of steel welded constructions.","10.3390/ma13061301","","||Miletić I.||Ilic A.||Nikolic´ R.::0000-0003-3042-8916::600||Ulewicz R.::0000-0002-5694-4284::600||Ivanović L.||Sczygiol N.::0000-0003-4458-8179::600","Article","85082667921","2020-03-01"
"+","123456789/7294","Radiomics-Based Assessment of Primary Sjögren's Syndrome from Salivary Gland Ultrasonography Images","© 2013 IEEE. Salivary gland ultrasonography (SGUS) has shown good potential in the diagnosis of primary Sjögren's syndrome (pSS). However, a series of international studies have reported needs for improvements of the existing pSS scoring procedures in terms of inter/intra observer reliability before being established as standardized diagnostic tools. The present study aims to solve this problem by employing radiomics features and artificial intelligence (AI) algorithms to make the pSS scoring more objective and faster compared to human expert scoring. The assessment of AI algorithms was performed on a two-centric cohort, which included 600 SGUS images (150 patients) annotated using the original SGUS scoring system proposed in 1992 for pSS. For each image, we extracted 907 histogram-based and descriptive statistics features from segmented salivary glands. Optimal feature subsets were found using the genetic algorithm based wrapper approach. Among the considered algorithms (seven classifiers and five regressors), the best preforming was the multilayer perceptron (MLP) classifier (κ = 0.7). The MLP over-performed average score achieved by the clinicians (κ = 0.67) by the considerable margin, whereas its reliability was on the level of human intra-observer variability (κ = 0.71). The presented findings indicate that the continuously increasing HarmonicSS cohort will enable further advancements in AI-based pSS scoring methods by SGUS. In turn, this may establish SGUS as an effective noninvasive pSS diagnostic tool, with the final goal to supplement current diagnostic tests.","10.1109/JBHI.2019.2923773","21682194","||Vukicevic A.||Filipović N.::0000-0001-9964-5615::600||Milic V.||Zabotti A.::0000-0002-0573-464X::600||Hočevar A.||De lucia O.::0000-0003-2304-6661::600||Filippou G.::0000-0002-1647-2083::600||Frangi A.::0000-0002-2675-528X::600||Tzioufas A.||De vita S.","Article","85081940812","2020-03-01"
"+","123456789/7294","A Correlation Study of the Colorectal Cancer Statistics and Economic Indicators in Selected Balkan Countries","© Copyright © 2020 Vekic, Dragojevic-Simic, Jakovljevic, Kalezic, Zagorac, Dragovic, Zivic, Pilipovic, Simic, Jovanovic, Milovanovic and Rancic. Colorectal cancer (CRC) is one of the most commonly diagnosed malignant neoplasms. The aim of the study was to evaluate and correlate most important epidemiological and economic indicators of CRC in 11 selected Balkan countries. The number of new CRC cases was 56,960, and the highest 5-year CRC prevalence was in Slovenia, Croatia, and Greece. Age-standardized CRC incidence rates were highest in Slovenia, Serbia, and Croatia, and age-standardized mortality rates were highest in Croatia, Serbia, and Bulgaria. Current Health Expenditure as % of Gross Domestic Product was the highest in Bosnia and Herzegovina and Serbia. The GDP per capita levels have shown positive correlation with the CRC incidence rate and prevalence. Absolute numbers of new and death-related CRC cases and 5-year prevalence in absolute numbers have shown strong positive correlation with GDP in million current US$. It has been shown that various economic indicators can be linked to the rate of incidence and prevalence of the CRC patients in the selected Balkan countries. Therefore, economic factors can influence the epidemiology of CRC, and heavy CRC burden in the Balkan region may be one of the indexes of the economic development.","10.3389/fpubh.2020.00029","","||Vekić B.::0000-0002-2458-2282::600||Dragojević Simić V.||Jakovljevic M.::0000-0002-9160-6846::600||Kalezic M.||Zagorac Z.||Dragovic S.||Zivić R.||Pilipovic F.||Simic R.||Jovanovic D.||Milovanovic J.||Rancic N.::0000-0002-5122-8094::600","Article","85080890249","2020-02-18"
"+","123456789/7294","Influence of cytokines on the postoperative period","© 2020 Jovanovic et al. Purpose of Investigation: The relationships between postoperative recovery and changes of circulating levels of pro- and anti-in- flammatory cytokines. Materials and Methods: The study included prospectively a cohort of 51 females who underwent abdominal hys- terectomy for benign diseases. Recovery was assessed with Quality of Recovery 40 (QoR-40) questionnaire and concentrations of four cytokines during the 72-hours period were measured using human sensitive enzyme-linked immunosorbent assay (ELISA) kits. Results: Total QoR-40 score significantly declined on the first and the second postoperative days and then returned to baseline (p < 0.001). Interleukin-17 serum levels had no significant trend (p = 0.072). Statistically significant patterns of concentration changes of interferon gamma (p = 0.010), interleukin-10 (p < 0.001), and transforming growth factor (p = 0.016) were found. There were no significant cor- relations between QoR-40 scores and concentrations of any cytokine, at prespecified study power for moderate relationships at least. Conclusion: Recovery after abdominal hysterectomy was rapid and complete and it was unrelated to serum concentration profiles of examined cytokines.","10.31083/j.ceog.2020.01.4963","03906663","||Jovanovic D.||Milovanović D.::0000-0002-7728-0608::600||Jovanovic I.||Folić M.::0000-0002-0807-3488::600||Jakovljevic V.","Article","85082139356","2020-02-15"
